
Predictions were generated on 20-Aug-2026 at 20:12:08 using AeroDyn_driver, compiled on Jul 29 2026 at 22:07:45 as a 64-bit application using single precision at commit c808d7f8-dirty
 AeroDyn



 Time        Case        HWindSpeedX HWindSpeedY HWindSpeedZ ShearExp    PtfmSurge   PtfmSway    PtfmHeave   PtfmRoll    PtfmPitch   PtfmYaw     Yaw         Azimuth     RotSpeed    BldPitch1   BldPitch2   BldPitch3   RtAeroPwr   RtAeroFxh   RtAeroFyh   RtAeroFzh   RtAeroMxh   RtAeroMyh   RtAeroMzh   RtAeroFxi   RtAeroFyi   RtAeroFzi   RtAeroMxi   RtAeroMyi   RtAeroMzi   B1AeroFx    B1AeroFy    B1AeroFz    B1AeroMx    B1AeroMy    B1AeroMz    B2AeroFx    B2AeroFy    B2AeroFz    B2AeroMx    B2AeroMy    B2AeroMz    B3AeroFx    B3AeroFy    B3AeroFz    B3AeroMx    B3AeroMy    B3AeroMz    RtVAvgxh    RtFldCp     RtFldCt     RtArea      RtSpeed     RtTSR       TwN1Fby     TwN1Fbx     TwN1Fbz     TwN1Mby     TwN1Mbx     TwN1Mbz    
 (s)         (-)         (m/s)       (m/s)       (m/s)       (-)         (m)         (m)         (m)         (deg)       (deg)       (deg)       (deg)       (deg)       (rpm)       (deg)       (deg)       (deg)       (W)         (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (m/s)       (-)         (-)         (m^2)       (rpm)       (-)         INVALID     INVALID     INVALID     INVALID     INVALID     INVALID    
     0.1000  1.00000000E+00             1.19487228E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             2.73154379E-04            -6.43860039E-05            -2.42722500E-03            -1.28361469E-04             1.28186541E-04             1.27139338E-03             0.00000000E+00             1.81464638E-04             9.72216367E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             9.22140732E+01             1.86543750E+05            -2.41086555E+00             1.76215381E+03             9.85622375E+05             3.69168219E+05            -4.00231406E+04             1.84972594E+05            -2.09277344E+00            -2.42243223E+04             9.70452625E+05             3.69170000E+05            -1.76844000E+05             6.57767188E+04            -8.64270312E+03             2.07461475E+03             3.02442969E+05             3.53809500E+06            -5.06296055E+04             5.99632734E+04            -7.85279688E+03             1.82562366E+03             2.83492938E+05             3.16074350E+06            -4.42255664E+04             6.13600312E+04            -9.29378418E+03             1.82989441E+03             3.30502062E+05             3.19859300E+06            -4.89019492E+04             1.17909060E+01             1.65437768E-06             3.94607484E-02             5.55155820E+04             8.93424847E-04             1.05480454E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1100  1.00000000E+00             1.19487209E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             3.14290926E-04            -8.35275860E-05            -2.73286947E-03            -1.51802917E-04             1.22269383E-04             1.44415523E-03             0.00000000E+00             2.86808267E-04             1.49455701E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.47010406E+02             1.86570844E+05             6.40012074E+00             1.74710266E+03             9.85557062E+05             3.60704062E+05            -3.95625664E+04             1.84997203E+05             6.80371094E+00            -2.42439316E+04             9.70451062E+05             3.60706375E+05            -1.76383250E+05             6.57096328E+04            -8.63681348E+03             2.07109619E+03             3.02143281E+05             3.53311425E+06            -5.05798984E+04             6.00137500E+04            -7.85824854E+03             1.82793652E+03             2.83740906E+05             3.16416050E+06            -4.42567148E+04             6.14038203E+04            -9.29530859E+03             1.83190198E+03             3.30485031E+05             3.20156075E+06            -4.89332461E+04             1.17919445E+01             2.63676111E-06             3.94595340E-02             5.55155820E+04             1.42441876E-03             1.68156391E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1200  1.00000000E+00             1.19487200E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             3.57868412E-04            -1.04294399E-04            -3.04060034E-03            -1.76715228E-04             1.11911097E-04             1.61692582E-03             0.00000000E+00             3.41525156E-04             1.10615138E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.10315567E+02             1.86593719E+05             1.23465223E+01             1.73799878E+03             9.85810812E+05             3.54035844E+05            -3.79222070E+04             1.85018438E+05             1.28056641E+01            -2.42572793E+04             9.70929625E+05             3.54038500E+05            -1.74799750E+05             6.56571094E+04            -8.63310938E+03             2.06827271E+03             3.01974438E+05             3.52915000E+06            -5.05455898E+04             6.00641406E+04            -7.86264404E+03             1.83022473E+03             2.83919406E+05             3.16755350E+06            -4.42939102E+04             6.14288906E+04            -9.29982910E+03             1.83295581E+03             3.30715250E+05             3.20316975E+06            -4.89530430E+04             1.17927494E+01             1.97820191E-06             3.94589826E-02             5.55155820E+04             1.06859859E-03             1.26142276E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1300  1.00000000E+00             1.19487181E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             4.04108665E-04            -1.26514875E-04            -3.35057965E-03            -2.03243704E-04             9.72894486E-05             1.79030013E-03             0.00000000E+00             3.63586005E-04             6.13837445E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             6.02992744E+01             1.86619953E+05             1.98709335E+01             1.73109583E+03             9.86134688E+05             3.47428500E+05            -3.74371602E+04             1.85043281E+05             2.03642578E+01            -2.42691055E+04             9.71316562E+05             3.47431375E+05            -1.74371250E+05             6.56062656E+04            -8.62981445E+03             2.06550293E+03             3.01824500E+05             3.52527850E+06            -5.05135156E+04             6.01063320E+04            -7.86620801E+03             1.83207251E+03             2.84057219E+05             3.17033350E+06            -4.43288867E+04             6.14638516E+04            -9.30595898E+03             1.83446912E+03             3.31034625E+05             3.20545450E+06            -4.89798711E+04             1.17936382E+01             1.08105473E-06             3.94585803E-02             5.55155820E+04             5.83911722E-04             6.89224224E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1400  1.00000000E+00             1.19487171E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             4.53169196E-04            -1.50037959E-04            -3.66295339E-03            -2.31517828E-04             7.84412914E-05             1.96376373E-03             0.00000000E+00             3.14709992E-04            -3.38454236E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00            -3.95486374E+01             1.86643734E+05             2.78755283E+01             1.73006580E+03             9.86639875E+05             3.42151219E+05            -3.79880430E+04             1.85066500E+05             2.84189453E+01            -2.42749473E+04             9.71738625E+05             3.42154375E+05            -1.74995000E+05             6.55664531E+04            -8.62791699E+03             2.06327686E+03             3.01755000E+05             3.52219250E+06            -5.04918867E+04             6.01336719E+04            -7.86789014E+03             1.83318335E+03             2.84099531E+05             3.17204825E+06            -4.43565820E+04             6.15001758E+04            -9.31489062E+03             1.83603430E+03             3.31544594E+05             3.20781900E+06            -4.90071484E+04             1.17943821E+01            -7.08899961E-07             3.94586325E-02             5.55155820E+04            -3.82775586E-04            -4.51783300E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1500  1.00000000E+00             1.19487152E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             5.05211297E-04            -1.74732908E-04            -3.97787476E-03            -2.61665438E-04             5.54627477E-05             2.13783723E-03             0.00000000E+00             2.96160899E-04            -3.18919396E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00            -4.04769516E+01             1.86667125E+05             3.52226715E+01             1.72537012E+03             9.86778812E+05             3.37410156E+05            -3.92635703E+04             1.85088781E+05             3.58535156E+01            -2.42845059E+04             9.71696875E+05             3.37413750E+05            -1.76286250E+05             6.55316172E+04            -8.62541699E+03             2.06137061E+03             3.01626562E+05             3.51953025E+06            -5.04682930E+04             6.01526016E+04            -7.86988916E+03             1.83394897E+03             2.84183531E+05             3.17323100E+06            -4.43695664E+04             6.15395078E+04            -9.31899219E+03             1.83780823E+03             3.31718781E+05             3.21046050E+06            -4.90361797E+04             1.17951822E+01            -7.25392113E-07             3.94582227E-02             5.55155820E+04            -3.91705224E-04            -4.62291442E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1600  1.00000000E+00             1.19487143E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             5.60360262E-04            -2.00478942E-04            -4.29547299E-03            -2.93807505E-04             2.83838235E-05             2.31210818E-03             0.00000000E+00             2.90128723E-04            -1.73330307E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00            -2.65321159E+01             1.86686703E+05             4.16266365E+01             1.71847302E+03             9.86841500E+05             3.32394188E+05            -3.97066602E+04             1.85106969E+05             4.23710938E+01            -2.42958535E+04             9.71695375E+05             3.32398375E+05            -1.76743250E+05             6.54930508E+04            -8.62234961E+03             2.05931079E+03             3.01470781E+05             3.51663050E+06            -5.04410469E+04             6.01780195E+04            -7.87256836E+03             1.83506934E+03             2.84302906E+05             3.17490950E+06            -4.43868281E+04             6.15722969E+04            -9.32167969E+03             1.83929834E+03             3.31811406E+05             3.21267025E+06            -4.90603945E+04             1.17958784E+01            -4.75400952E-07             3.94577086E-02             5.55155820E+04            -2.56741361E-04            -3.02988890E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1700  1.00000000E+00             1.19487123E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             6.18741557E-04            -2.27173077E-04            -4.61586332E-03            -3.28052120E-04            -2.72746706E-06             2.48698145E-03             0.00000000E+00             3.76307638E-04             8.99766630E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             8.40845413E+01             1.86705375E+05             4.53794289E+01             1.70729858E+03             9.86541125E+05             3.28359438E+05            -3.98199023E+04             1.85123656E+05             4.62373047E+01            -2.43114395E+04             9.71380125E+05             3.28364250E+05            -1.76823500E+05             6.54633281E+04            -8.61903906E+03             2.05776147E+03             3.01273781E+05             3.51443075E+06            -5.04147930E+04             6.02011758E+04            -7.87608105E+03             1.83615527E+03             2.84487344E+05             3.17649900E+06            -4.43919844E+04             6.15976133E+04            -9.31865820E+03             1.84049829E+03             3.31529938E+05             3.21441975E+06            -4.90787227E+04             1.17966108E+01             1.50634139E-06             3.94567512E-02             5.55155820E+04             8.13902414E-04             9.60453239E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1800  1.00000000E+00             1.19487104E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             6.80460886E-04            -2.54718965E-04            -4.93913097E-03            -3.64503096E-04            -3.78404584E-05             2.66213459E-03             0.00000000E+00             4.76728746E-04             1.41571229E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.37715317E+02             1.86723031E+05             4.96919441E+01             1.69833630E+03             9.86447375E+05             3.23978469E+05            -3.96184414E+04             1.85139625E+05             5.06503906E+01            -2.43248105E+04             9.71313312E+05             3.23983875E+05            -1.76621250E+05             6.54299258E+04            -8.61600098E+03             2.05599683E+03             3.01107500E+05             3.51193925E+06            -5.03890664E+04             6.02280938E+04            -7.87929883E+03             1.83739526E+03             2.84643219E+05             3.17832650E+06            -4.44063750E+04             6.16217969E+04            -9.31847168E+03             1.84160193E+03             3.31446375E+05             3.21605725E+06            -4.90948516E+04             1.17972641E+01             2.46670538E-06             3.94561067E-02             5.55155820E+04             1.33315206E-03             1.57311163E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1900  1.00000000E+00             1.19487095E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             7.45622790E-04            -2.83034693E-04            -5.26533555E-03            -4.03250771E-04            -7.69039907E-05             2.83793989E-03             0.00000000E+00             5.99154737E-04             1.83219311E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.79869629E+02             1.86742016E+05             5.44309311E+01             1.69105029E+03             9.86405438E+05             3.19910500E+05            -3.99525078E+04             1.85157125E+05             5.54863281E+01            -2.43368262E+04             9.71223125E+05             3.19916500E+05            -1.76957000E+05             6.53998516E+04            -8.61343066E+03             2.05438330E+03             3.00964156E+05             3.50966700E+06            -5.03665234E+04             6.02498594E+04            -7.88195752E+03             1.83836731E+03             2.84771875E+05             3.17977275E+06            -4.44171094E+04             6.16491602E+04            -9.31916406E+03             1.84285120E+03             3.31416688E+05             3.21790650E+06            -4.91147422E+04             1.17979441E+01             3.22120104E-06             3.94555740E-02             5.55155820E+04             1.74130069E-03             2.05460610E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
