
Predictions were generated on 21-Aug-2026 at 11:05:06 using AeroDyn_driver, compiled on Jun 03 2026 at 10:12:24 as a 64-bit application using single precision at commit Unversioned from 02847314dfdc4069d70b8b493e37b12b810a11e2
 AeroDyn



 Time        Case        HWindSpeedX HWindSpeedY HWindSpeedZ ShearExp    PtfmSurge   PtfmSway    PtfmHeave   PtfmRoll    PtfmPitch   PtfmYaw     Yaw         Azimuth     RotSpeed    BldPitch1   BldPitch2   BldPitch3   RtAeroPwr   RtAeroFxh   RtAeroFyh   RtAeroFzh   RtAeroMxh   RtAeroMyh   RtAeroMzh   RtAeroFxi   RtAeroFyi   RtAeroFzi   RtAeroMxi   RtAeroMyi   RtAeroMzi   B1AeroFx    B1AeroFy    B1AeroFz    B1AeroMx    B1AeroMy    B1AeroMz    B2AeroFx    B2AeroFy    B2AeroFz    B2AeroMx    B2AeroMy    B2AeroMz    B3AeroFx    B3AeroFy    B3AeroFz    B3AeroMx    B3AeroMy    B3AeroMz    RtVAvgxh    RtFldCp     RtFldCt     RtArea      RtSpeed     RtTSR       TwN1Fby     TwN1Fbx     TwN1Fbz     TwN1Mby     TwN1Mbx     TwN1Mbz    
 (s)         (-)         (m/s)       (m/s)       (m/s)       (-)         (m)         (m)         (m)         (deg)       (deg)       (deg)       (deg)       (deg)       (rpm)       (deg)       (deg)       (deg)       (W)         (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (m/s)       (-)         (-)         (m^2)       (rpm)       (-)         INVALID     INVALID     INVALID     INVALID     INVALID     INVALID    
     0.1000  1.00000000E+00             1.19420834E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -3.39625345E-04             3.37441423E-04             1.80636942E-02             1.19433695E-04             1.73058594E-04            -1.91710456E-06             0.00000000E+00             5.79796208E-04             9.66327032E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.49152145E+02             1.87633406E+05            -1.86389725E+02             1.46646838E+03             9.72171812E+05             3.81414625E+05            -3.14589336E+04             1.86011391E+05            -1.86359375E+02            -2.46618945E+04             9.58332562E+05             3.81415250E+05            -1.66451250E+05             6.62540234E+04            -8.70249805E+03             2.09051929E+03             3.04571969E+05             3.56468625E+06            -5.09924531E+04             6.04203555E+04            -7.92367139E+03             1.83440027E+03             2.82501812E+05             3.18001050E+06            -4.50944102E+04             6.15184844E+04            -9.00397656E+03             1.83730432E+03             3.16226781E+05             3.20931425E+06            -4.87575859E+04             1.18343830E+01             2.64649839E-06             3.94001529E-02             5.55155820E+04             1.46506820E-03             1.72334944E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1100  1.00000000E+00             1.19420996E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -4.22025187E-04             4.15755232E-04             2.18510535E-02             1.51197586E-04             2.18647256E-04            -2.39967176E-06             0.00000000E+00             9.82542406E-04             1.48870063E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             2.07349823E+02             1.87830219E+05            -2.04379990E+02             1.41056140E+03             9.70281875E+05             3.76830469E+05            -3.04085117E+04             1.86198500E+05            -2.04346680E+02            -2.47448008E+04             9.56607438E+05             3.76831375E+05            -1.65146000E+05             6.62784766E+04            -8.70710254E+03             2.09051636E+03             3.04669125E+05             3.56525325E+06            -5.10111289E+04             6.05281758E+04            -7.94078418E+03             1.83748181E+03             2.82634594E+05             3.18551375E+06            -4.52486055E+04             6.15836328E+04            -8.96387207E+03             1.84043616E+03             3.14139844E+05             3.21384850E+06            -4.87658516E+04             1.18420897E+01             3.67195730E-06             3.93901616E-02             5.55155820E+04             2.04069051E-03             2.39888765E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1200  1.00000000E+00             1.19421177E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -5.14059502E-04             5.04318683E-04             2.62523256E-02             1.86044766E-04             2.69878103E-04            -2.96487929E-06             0.00000000E+00             7.92149338E-04             1.10020745E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.72557953E+02             1.88057109E+05            -2.22569855E+02             1.35340930E+03             9.68667188E+05             3.71795625E+05            -2.94757129E+04             1.86415203E+05            -2.22517578E+02            -2.48331406E+04             9.55137938E+05             3.71796500E+05            -1.63999500E+05             6.63086719E+04            -8.71374609E+03             2.09055664E+03             3.04873188E+05             3.56600175E+06            -5.10402461E+04             6.06487383E+04            -7.95996387E+03             1.84083472E+03             2.82767688E+05             3.19158650E+06            -4.54300781E+04             6.16604531E+04            -8.92515625E+03             1.84402625E+03             3.12205531E+05             3.21909850E+06            -4.87782852E+04             1.18507385E+01             3.04914283E-06             3.93802039E-02             5.55155820E+04             1.70110760E-03             1.99823920E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1300  1.00000000E+00             1.19421377E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -6.15592347E-04             6.03786437E-04             3.12958509E-02             2.23768831E-04             3.26665293E-04            -3.61890602E-06             0.00000000E+00             4.70909552E-04             6.03730150E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.26722664E+02             1.88282734E+05            -2.39291656E+02             1.29807971E+03             9.67242500E+05             3.66797562E+05            -2.85080000E+04             1.86630906E+05            -2.39216797E+02            -2.49195176E+04             9.53861375E+05             3.66798375E+05            -1.62845750E+05             6.63387422E+04            -8.72048438E+03             2.09060083E+03             3.05086031E+05             3.56675075E+06            -5.10699258E+04             6.07689219E+04            -7.97972070E+03             1.84419067E+03             2.82933844E+05             3.19765050E+06            -4.56108750E+04             6.17364883E+04            -8.88907129E+03             1.84759167E+03             3.10411281E+05             3.22429625E+06            -4.87937227E+04             1.18592539E+01             2.23440134E-06             3.93708423E-02             5.55155820E+04             1.25109509E-03             1.46856811E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1400  1.00000000E+00             1.19421625E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -7.26492144E-04             7.14022492E-04             3.69319580E-02             2.64292874E-04             3.88867338E-04            -4.36042137E-06             0.00000000E+00             3.59999695E+02            -3.50412563E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             3.47409477E+01             1.88480688E+05            -2.52292450E+02             1.25278491E+03             9.66309562E+05             3.62384219E+05            -2.77209551E+04             1.86820594E+05            -2.52184570E+02            -2.49921211E+04             9.53046188E+05             3.62384750E+05            -1.61942250E+05             6.63646641E+04            -8.72690332E+03             2.09059839E+03             3.05312875E+05             3.56735900E+06            -5.10986680E+04             6.08740117E+04            -7.99724707E+03             1.84710583E+03             2.83090219E+05             3.20293125E+06            -4.57721797E+04             6.18039922E+04            -8.86142871E+03             1.85071619E+03             3.09092625E+05             3.22887625E+06            -4.88059375E+04             1.18665705E+01             6.11427595E-07             3.93636562E-02             5.55155820E+04             3.43318156E-04             4.02747362E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1500  1.00000000E+00             1.19421883E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -8.46460287E-04             8.34262755E-04             4.30506282E-02             3.07689101E-04             4.56249953E-04            -5.17996477E-06             0.00000000E+00             3.59999695E+02            -3.35615623E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             4.11357498E+01             1.88628484E+05            -2.62221863E+02             1.21483484E+03             9.65345000E+05             3.58812625E+05            -2.69718262E+04             1.86961641E+05            -2.62097656E+02            -2.50504922E+04             9.52195062E+05             3.58813250E+05            -1.61067000E+05             6.63815078E+04            -8.73058789E+03             2.09053223E+03             3.05409781E+05             3.56768875E+06            -5.11138086E+04             6.09550586E+04            -8.01139453E+03             1.84943860E+03             2.83261719E+05             3.20708575E+06            -4.58883047E+04             6.18543672E+04            -8.83750000E+03             1.85308972E+03             3.07865531E+05             3.23233550E+06            -4.88145312E+04             1.18720818E+01             7.22965865E-07             3.93579565E-02             5.55155820E+04             4.06919251E-04             4.77136316E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1600  1.00000000E+00             1.19422178E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -9.75144561E-04             9.63425380E-04             4.95210811E-02             3.54132440E-04             5.28504315E-04            -6.06223011E-06             0.00000000E+00             3.59999817E+02            -1.88843085E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             6.11933403E+01             1.88728281E+05            -2.68528931E+02             1.18832312E+03             9.64660750E+05             3.56194562E+05            -2.64303555E+04             1.87056750E+05            -2.68389648E+02            -2.50908730E+04             9.51592750E+05             3.56195375E+05            -1.60435750E+05             6.63909922E+04            -8.73270020E+03             2.09040234E+03             3.05454062E+05             3.56778525E+06            -5.11216797E+04             6.10109492E+04            -8.02135938E+03             1.85108337E+03             2.83392594E+05             3.20998475E+06            -4.59673984E+04             6.18890859E+04            -8.82106250E+03             1.85473633E+03             3.07011500E+05             3.23472475E+06            -4.88189766E+04             1.18758392E+01             1.07445999E-06             3.93538624E-02             5.55155820E+04             6.05760433E-04             7.10064429E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1700  1.00000000E+00             1.19422493E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -1.11242721E-03             1.10030372E-03             5.62349632E-02             4.03777522E-04             6.05325273E-04            -6.98917211E-06             0.00000000E+00             9.01834224E-04             8.84151261E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.74866760E+02             1.88793812E+05            -2.73603668E+02             1.16531604E+03             9.63797125E+05             3.54167094E+05            -2.58763887E+04             1.87118406E+05            -2.73467773E+02            -2.51230332E+04             9.50815375E+05             3.54168500E+05            -1.59761250E+05             6.63946875E+04            -8.73269531E+03             2.09025806E+03             3.05388938E+05             3.56772900E+06            -5.11189375E+04             6.10510586E+04            -8.02886816E+03             1.85235071E+03             2.83525250E+05             3.21215025E+06            -4.60155664E+04             6.19110156E+04            -8.80522266E+03             1.85589844E+03             3.06096906E+05             3.23634750E+06            -4.88209922E+04             1.18784637E+01             3.06835386E-06             3.93501334E-02             5.55155820E+04             1.73257897E-03             2.03045737E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1800  1.00000000E+00             1.19422808E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -1.25844707E-03             1.24394090E-03             6.31373525E-02             4.56654496E-04             6.86433923E-04            -7.94384778E-06             0.00000000E+00             1.51504588E-03             1.40282034E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             2.32428955E+02             1.88856109E+05            -2.77351196E+02             1.14710010E+03             9.63240875E+05             3.52361688E+05            -2.54851719E+04             1.87177531E+05            -2.77207031E+02            -2.51500117E+04             9.50319312E+05             3.52363500E+05            -1.59293750E+05             6.63991641E+04            -8.73330762E+03             2.09014087E+03             3.05371594E+05             3.56771700E+06            -5.11198672E+04             6.10873164E+04            -8.03548438E+03             1.85345996E+03             2.83632281E+05             3.21407375E+06            -4.60625977E+04             6.19327852E+04            -8.79369043E+03             1.85698523E+03             3.05457750E+05             3.23789600E+06            -4.88241172E+04             1.18808479E+01             4.07593234E-06             3.93473208E-02             5.55155820E+04             2.30423454E-03             2.69985478E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.1900  1.00000000E+00             1.19423141E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -1.41336571E-03             1.39399525E-03             7.02383518E-02             5.12627303E-04             7.71551451E-04            -8.91381296E-06             0.00000000E+00             2.07413593E-03             1.81941770E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             2.79259338E+02             1.88938172E+05            -2.81837067E+02             1.12585962E+03             9.62681812E+05             3.50282062E+05            -2.50287891E+04             1.87255797E+05            -2.81681641E+02            -2.51827480E+04             9.49829438E+05             3.50284250E+05            -1.58761750E+05             6.64076562E+04            -8.73469629E+03             2.09009644E+03             3.05383875E+05             3.56787125E+06            -5.11247500E+04             6.11329531E+04            -8.04377588E+03             1.85482495E+03             2.83762594E+05             3.21646325E+06            -4.61228750E+04             6.19609727E+04            -8.78079492E+03             1.85834436E+03             3.04759719E+05             3.23985275E+06            -4.88295156E+04             1.18839207E+01             4.89336389E-06             3.93440649E-02             5.55155820E+04             2.77010561E-03             3.24487290E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
