# time NacFx NacFy NacFz NacMx NacMy NacMz HubFx HubFy HubFz HubMx HubMy HubMz TwrFx TwrFy TwrFz TwrMx TwrMy TwrMz BldFx BldFy BldFz BldMx BldMy BldMz TotFx TotFy TotFz TotMx TotMy TotMz
0.010000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8649206250e+05 -6.7083984375e+01 1.7926096191e+03 9.9343471514e+05 2.6231774636e+07 -3.6358563867e+04 3.1971637360e+04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0760104160e+06 0.0000000000e+00 7.0994787598e-03 4.5853626708e-07 -4.9154748917e-04 4.1601271342e-04 9.8633619524e-01 -1.1942188826e-04 2.1846370696e+05 -6.7083983916e+01 1.7926091276e+03 9.9343471555e+05 2.8307786039e+07 -3.6358563987e+04
0.010000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8649206250e+05 -6.7083984375e+01 1.7926096191e+03 9.9343471514e+05 2.6231774636e+07 -3.6358563867e+04 3.1971637360e+04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0760104160e+06 0.0000000000e+00 7.0994787598e-03 4.5853626708e-07 -4.9154748917e-04 4.1601271342e-04 9.8633619524e-01 -1.1942188826e-04 2.1846370696e+05 -6.7083983916e+01 1.7926091276e+03 9.9343471555e+05 2.8307786039e+07 -3.6358563987e+04
0.020000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8649206250e+05 -6.7083984375e+01 1.7926096191e+03 9.9343465264e+05 2.6231774386e+07 -3.6358067773e+04 3.1971637360e+04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0760104160e+06 0.0000000000e+00 7.0994787598e-03 4.5853626708e-07 -4.9154748917e-04 4.1601271342e-04 9.8633619524e-01 -1.1942173567e-04 2.1846370696e+05 -6.7083983916e+01 1.7926091276e+03 9.9343465305e+05 2.8307785789e+07 -3.6358067893e+04
0.020000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8649206250e+05 -6.7083984375e+01 1.7926096191e+03 9.9343465264e+05 2.6231774386e+07 -3.6358067773e+04 3.1971637360e+04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0760104160e+06 0.0000000000e+00 7.0994787598e-03 4.5853626708e-07 -4.9154748917e-04 4.1601271342e-04 9.8633619524e-01 -1.1942173567e-04 2.1846370696e+05 -6.7083983916e+01 1.7926091276e+03 9.9343465305e+05 2.8307785789e+07 -3.6358067893e+04
0.030000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8664065625e+05 -8.4968215942e+01 1.7490850830e+03 9.9412959950e+05 2.6249365307e+07 -3.5455622890e+04 3.1973270172e+04 -1.1529851463e+00 -5.5735604064e-04 6.3825464010e+01 2.0760819243e+06 0.0000000000e+00 7.1032159424e-03 3.6725894548e-07 -5.0518939972e-04 4.2914212137e-04 9.8692740297e-01 -1.1931010249e-04 2.1861393353e+05 -8.6121200721e+01 1.7490840205e+03 9.9419342539e+05 2.8325448218e+07 -3.5455623009e+04
0.030000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8664065625e+05 -8.4968215942e+01 1.7490850830e+03 9.9412959950e+05 2.6249365307e+07 -3.5455622890e+04 3.1973270172e+04 -1.1529851463e+00 -5.5735604064e-04 6.3825464010e+01 2.0760819243e+06 0.0000000000e+00 7.1032159424e-03 3.6725894548e-07 -5.0518939972e-04 4.2914212137e-04 9.8692740297e-01 -1.1931010249e-04 2.1861393353e+05 -8.6121200721e+01 1.7490840205e+03 9.9419342539e+05 2.8325448218e+07 -3.5455623009e+04
0.040000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8690782812e+05 -1.1353717041e+02 1.6796450195e+03 9.9552765874e+05 2.6281040036e+07 -3.4318224689e+04 3.1976021545e+04 -3.2577444129e+00 -2.8488835924e-03 1.7676577924e+02 2.0761880966e+06 0.0000000000e+00 7.1097781372e-03 2.1697776392e-07 -5.2919048309e-04 4.5084575646e-04 9.8796574452e-01 -1.1890730480e-04 2.1888385678e+05 -1.1679491461e+02 1.6796416415e+03 9.9570442497e+05 2.8357229120e+07 -3.4318224808e+04
0.040000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8690782812e+05 -1.1353717041e+02 1.6796450195e+03 9.9552765874e+05 2.6281040036e+07 -3.4318224689e+04 3.1976021545e+04 -3.2577444129e+00 -2.8488835924e-03 1.7676577924e+02 2.0761880966e+06 0.0000000000e+00 7.1097781372e-03 2.1697776392e-07 -5.2919048309e-04 4.5084575646e-04 9.8796574452e-01 -1.1890730480e-04 2.1888385678e+05 -1.1679491461e+02 1.6796416415e+03 9.9570442497e+05 2.8357229120e+07 -3.4318224808e+04
0.050000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8709681250e+05 -1.3427845764e+02 1.6252449951e+03 9.9632153996e+05 2.6302994719e+07 -3.3301281087e+04 3.1977829956e+04 -4.9400465898e+00 -7.6158296215e-03 2.5890439096e+02 2.0762264430e+06 0.0000000000e+00 7.1144403076e-03 1.3039657846e-07 -5.4679664612e-04 4.6350252254e-04 9.8870642112e-01 -1.1834561809e-04 2.1907464957e+05 -1.3921850410e+02 1.6252368325e+03 9.9658044481e+05 2.8379222150e+07 -3.3301281205e+04
0.050000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8709681250e+05 -1.3427845764e+02 1.6252449951e+03 9.9632153996e+05 2.6302994719e+07 -3.3301281087e+04 3.1977829956e+04 -4.9400465898e+00 -7.6158296215e-03 2.5890439096e+02 2.0762264430e+06 0.0000000000e+00 7.1144403076e-03 1.3039657846e-07 -5.4679664612e-04 4.6350252254e-04 9.8870642112e-01 -1.1834561809e-04 2.1907464957e+05 -1.3921850410e+02 1.6252368325e+03 9.9658044481e+05 2.8379222150e+07 -3.3301281205e+04
